ord;audk;ordfl;beyg;mark
abbadís;117998;kvk;abbadís;NFET,ÞFET,ÞGFET
abbadís;117998;kvk;abbadísa;EFFT
abbadís;117998;kvk;abbadísar;EFET
abbadís;117998;kvk;abbadísir;NFFT,ÞFFT
abbadís;117998;kvk;abbadísum;ÞGFFT
aðild;10431;kvk;aðildum;ÞGFFT
aðild;10431;kvk;aðildir;NFFT,ÞFFT
aðild;10431;kvk;aðildar;EFET
aðild;10431;kvk;aðilda;EFFT
aðild;10431;kvk;aðild;NFET,ÞFET,ÞGFET
alin;10172;kvk;álnar;EFET
alin;10172;kvk;alin;NFET,ÞFET,ÞGFET
alin;10172;kvk;álna;EFFT
alin;10172;kvk;álnir;NFFT,ÞFFT
alin;10172;kvk;álnum;ÞGFFT
ambátt;10425;kvk;ambáttum;ÞGFFT
ambátt;10425;kvk;ambáttir;NFFT,ÞFFT
ambátt;10425;kvk;ambáttar;EFET
ambátt;10425;kvk;ambátta;EFFT
ambátt;10425;kvk;ambátt;NFET,ÞFET,ÞGFET
andakt;10685;kvk;andakt;NFET,ÞFET,ÞGFET
andakt;10685;kvk;andakta;EFFT
andakt;10685;kvk;andaktir;NFFT,ÞFFT
andakt;10685;kvk;andöktum;ÞGFFT
andakt;10685;kvk;andaktar;EFET
angist;10432;kvk;angistum;ÞGFFT
angist;10432;kvk;angistir;NFFT,ÞFFT
angist;10432;kvk;angistar;EFET
angist;10432;kvk;angista;EFFT
angist;10432;kvk;angist;NFET,ÞFET,ÞGFET
auðn;10558;kvk;auðnar;EFET
auðn;10558;kvk;auðnum;ÞGFFT
auðn;10558;kvk;auðnir;NFFT,ÞFFT
auðn;10558;kvk;auðna;EFFT
auðn;10558;kvk;auðn;NFET,ÞFET,ÞGFET
álft;10680;kvk;álftir;NFFT,ÞFFT
álft;10680;kvk;álfta;EFFT
álft;10680;kvk;álftar;EFET
álft;10680;kvk;álftum;ÞGFFT
álft;10680;kvk;álft;NFET,ÞFET,ÞGFET
ást;10433;kvk;ástir;NFFT,ÞFFT
ást;10433;kvk;ástum;ÞGFFT
ást;10433;kvk;ást;NFET,ÞFET,ÞGFET
ást;10433;kvk;ásta;EFFT
ást;10433;kvk;ástar;EFET
átt;10358;kvk;áttum;ÞGFFT
átt;10358;kvk;áttar;EFET
átt;10358;kvk;áttir;NFFT,ÞFFT
átt;10358;kvk;átta;EFFT
átt;10358;kvk;átt;NFET,ÞFET,ÞGFET
áttund;384268;kvk;áttundum;ÞGFFT
áttund;384268;kvk;áttunda;EFFT
áttund;384268;kvk;áttundar;EFET
áttund;384268;kvk;áttund;NFET,ÞFET,ÞGFET
áttund;384268;kvk;áttundir;NFFT,ÞFFT
baun;10434;kvk;baunum;ÞGFFT
baun;10434;kvk;baun;NFET,ÞFET,ÞGFET
baun;10434;kvk;bauna;EFFT
baun;10434;kvk;baunar;EFET
baun;10434;kvk;baunir;NFFT,ÞFFT
beit;10359;kvk;beitar;EFET
beit;10359;kvk;beit;NFET,ÞFET,ÞGFET
beit;10359;kvk;beita;EFFT
beit;10359;kvk;beitum;ÞGFFT
beit;10359;kvk;beitir;NFFT,ÞFFT
betrun;12338;kvk;betranir;NFFT,ÞFFT
betrun;12338;kvk;betrana;EFFT
betrun;12338;kvk;betrunum;ÞGFFT
betrun;12338;kvk;betrunar;EFET
betrun;12338;kvk;betrun;NFET,ÞFET,ÞGFET
bið;10360;kvk;biðum;ÞGFFT
bið;10360;kvk;biðir;NFFT,ÞFFT
bið;10360;kvk;bið;NFET,ÞFET,ÞGFET
bið;10360;kvk;biða;EFFT
bið;10360;kvk;biðar;EFET
billjón;10437;kvk;billjóna;EFFT
