ord;audk;ordfl;beyg;mark
Addi;353736;kk;Adda;ÞFET,ÞGFET,EFET
Addi;353736;kk;Addi;NFET
afli;8828;kk;afla;ÞFET,ÞGFET,EFET
afli;8828;kk;afli;NFET
Aggi;353743;kk;Agga;ÞFET,ÞGFET,EFET
Aggi;353743;kk;Aggi;NFET
agi;8831;kk;aga;ÞFET,ÞGFET,EFET
agi;8831;kk;agi;NFET
aktívismi;484091;kk;aktívisma;ÞFET,ÞGFET,EFET
aktívismi;484091;kk;aktívismi;NFET
alkóhólismi;464716;kk;alkóhólismi;NFET
alkóhólismi;464716;kk;alkóhólisma;ÞFET,ÞGFET,EFET
Alli;353757;kk;Alli;NFET
Alli;353757;kk;Alla;ÞFET,ÞGFET,EFET
ami;8835;kk;ami;NFET
ami;8835;kk;ama;ÞFET,ÞGFET,EFET
anarkismi;9359;kk;anarkisma;ÞFET,ÞGFET,EFET
anarkismi;9359;kk;anarkismi;NFET
Andri;353768;kk;Andra;ÞFET,ÞGFET,EFET
Andri;353768;kk;Andri;NFET
Ari;353786;kk;Ari;NFET
Ari;353786;kk;Ara;ÞFET,ÞGFET,EFET
asi;8847;kk;asi;NFET
asi;8847;kk;asa;ÞFET,ÞGFET,EFET
asmi;494930;kk;asmi;NFET
asmi;494930;kk;asma;ÞFET,ÞGFET,EFET
astmi;484045;kk;astmi;NFET
astmi;484045;kk;astma;ÞFET,ÞGFET,EFET
Atli;353809;kk;Atli;NFET
Atli;353809;kk;Atla;ÞFET,ÞGFET,EFET
Auddi;488839;kk;Audda;ÞFET,ÞGFET,EFET
Auddi;488839;kk;Auddi;NFET
Austri;353817;kk;Austra;ÞFET,ÞGFET,EFET
Austri;353817;kk;Austri;NFET
Áki;353823;kk;Áki;NFET
Áki;353823;kk;Áka;ÞFET,ÞGFET,EFET
Árni;353831;kk;Árni;NFET
Árni;353831;kk;Árna;ÞFET,ÞGFET,EFET
Ási;353834;kk;Ása;ÞFET,ÞGFET,EFET
Ási;353834;kk;Ási;NFET
Baddi;485403;kk;Badda;ÞFET,ÞGFET,EFET
Baddi;485403;kk;Baddi;NFET
bagi;8851;kk;baga;ÞFET,ÞGFET,EFET
bagi;8851;kk;bagi;NFET
Barði;353840;kk;Barða;ÞFET,ÞGFET,EFET
Barði;353840;kk;Barði;NFET
Barri;353841;kk;Barra;ÞFET,ÞGFET,EFET
Barri;353841;kk;Barri;NFET
Bassi;353843;kk;Bassi;NFET
Bassi;353843;kk;Bassa;ÞFET,ÞGFET,EFET
bági;8626;kk;bági;NFET
bági;8626;kk;bága;ÞFET,ÞGFET,EFET
Beggi;488876;kk;Beggi;NFET
Beggi;488876;kk;Begga;ÞFET,ÞGFET,EFET
beini;8627;kk;beini;NFET
beini;8627;kk;beina;ÞFET,ÞGFET,EFET
Benni;353852;kk;Benni;NFET
Benni;353852;kk;Benna;ÞFET,ÞGFET,EFET
Bensi;484854;kk;Bensa;ÞFET,ÞGFET,EFET
Bensi;484854;kk;Bensi;NFET
Bersi;353865;kk;Bersa;ÞFET,ÞGFET,EFET
Bersi;353865;kk;Bersi;NFET
Berti;484855;kk;Berta;ÞFET,ÞGFET,EFET
Berti;484855;kk;Berti;NFET
Bessi;353869;kk;Bessa;ÞFET,ÞGFET,EFET
Bessi;353869;kk;Bessi;NFET
Biggi;484856;kk;Biggi;NFET
Biggi;484856;kk;Bigga;ÞFET,ÞGFET,EFET
Binni;485369;kk;Binni;NFET
Binni;485369;kk;Binna;ÞFET,ÞGFET,EFET
Bjarki;353877;kk;Bjarki;NFET
Bjarki;353877;kk;Bjarka;ÞFET,ÞGFET,EFET
Bjarmi;353879;kk;Bjarma;ÞFET,ÞGFET,EFET
Bjarmi;353879;kk;Bjarmi;NFET
Bjarni;353881;kk;Bjarna;ÞFET,ÞGFET,EFET
Bjarni;353881;kk;Bjarni;NFET
Bjöggi;488882;kk;Bjögga;ÞFET,ÞGFET,EFET
Bjöggi;488882;kk;Bjöggi;NFET
Bjössi;485373;kk;Bjössi;NFET
Bjössi;485373;kk;Bjössa;ÞFET,ÞGFET,EFET
blámi;8628;kk;bláma;ÞFET,ÞGFET,EFET
blámi;8628;kk;blámi;NFET
Bogi;353892;kk;Bogi;NFET
Bogi;353892;kk;Boga;ÞFET,ÞGFET,EFET
Bolli;353893;kk;Bolli;NFET
Bolli;353893;kk;Bolla;ÞFET,ÞGFET,EFET
bolsévismi;9363;kk;bolsévisma;ÞFET,ÞGFET,EFET
bolsévismi;9363;kk;bolsévismi;NFET
Bragi;353896;kk;Braga;ÞFET,ÞGFET,EFET
Bragi;353896;kk;Bragi;NFET
bransi;8882;kk;bransi;NFET
bransi;8882;kk;bransa;ÞFET,ÞGFET,EFET
Breki;353898;kk;Breka;ÞFET,ÞGFET,EFET
Breki;353898;kk;Breki;NFET
brími;8637;kk;brími;NFET
brími;8637;kk;bríma;ÞFET,ÞGFET,EFET
Broddi;353906;kk;Broddi;NFET
Broddi;353906;kk;Brodda;ÞFET,ÞGFET,EFET
broti;8639;kk;broti;NFET
broti;8639;kk;brota;ÞFET,ÞGFET,EFET
Bubbi;488914;kk;Bubbi;NFET
Bubbi;488914;kk;Bubba;ÞFET,ÞGFET,EFET
Burkni;353910;kk;Burkna;ÞFET,ÞGFET,EFET
Burkni;353910;kk;Burkni;NFET
Búddi;488926;kk;Búdda;ÞFET,ÞGFET,EFET
Búddi;488926;kk;Búddi;NFET
búddismi;9367;kk;búddismi;NFET
búddismi;9367;kk;búddisma;ÞFET,ÞGFET,EFET
Búi;353911;kk;Búi;NFET
Búi;353911;kk;Búa;ÞFET,ÞGFET,EFET
Böddi;488923;kk;Bödda;ÞFET,ÞGFET,EFET
Böddi;488923;kk;Böddi;NFET
Daði;353925;kk;Daða;ÞFET,ÞGFET,EFET
Daði;353925;kk;Daði;NFET
Danni;485394;kk;Danna;ÞFET,ÞGFET,EFET
Danni;485394;kk;Danni;NFET
Darri;353937;kk;Darri;NFET
Darri;353937;kk;Darra;ÞFET,ÞGFET,EFET
dauði;6987;kk;dauða;ÞFET,ÞGFET,EFET
dauði;6987;kk;dauði;NFET
Denni;488954;kk;Denni;NFET
Denni;488954;kk;Denna;ÞFET,ÞGFET,EFET
Diddi;485381;kk;Didda;ÞFET,ÞGFET,EFET
Diddi;485381;kk;Diddi;NFET
Dóri;353951;kk;Dóra;ÞFET,ÞGFET,EFET
Dóri;353951;kk;Dóri;NFET
Doddi;484857;kk;Dodda;ÞFET,ÞGFET,EFET
Doddi;484857;kk;Doddi;NFET
doði;8642;kk;doði;NFET
doði;8642;kk;doða;ÞFET,ÞGFET,EFET
dofi;8643;kk;dofa;ÞFET,ÞGFET,EFET
dofi;8643;kk;dofi;NFET
Dofri;353945;kk;Dofri;NFET
Dofri;353945;kk;Dofra;ÞFET,ÞGFET,EFET
Donni;488962;kk;Donna;ÞFET,ÞGFET,EFET
Donni;488962;kk;Donni;NFET
dreyri;8644;kk;dreyra;ÞFET,ÞGFET,EFET
dreyri;8644;kk;dreyri;NFET
drómi;7016;kk;dróma;ÞFET,ÞGFET,EFET
drómi;7016;kk;drómi;NFET
Dúddi;485408;kk;Dúdda;ÞFET,ÞGFET,EFET
Dúddi;485408;kk;Dúddi;NFET
Dúi;353959;kk;Dúa;ÞFET,ÞGFET,EFET
Dúi;353959;kk;Dúi;NFET
dvali;8898;kk;dvali;NFET
dvali;8898;kk;dvala;ÞFET,ÞGFET,EFET
Dýri;353961;kk;Dýri;NFET
Dýri;353961;kk;Dýra;ÞFET,ÞGFET,EFET
Ebbi;353962;kk;Ebbi;NFET
Ebbi;353962;kk;Ebba;ÞFET,ÞGFET,EFET
Eddi;488983;kk;Eddi;NFET
Eddi;488983;kk;Edda;ÞFET,ÞGFET,EFET
efi;8645;kk;efa;ÞFET,ÞGFET,EFET
efi;8645;kk;efi;NFET
egóismi;9370;kk;egóismi;NFET
egóismi;9370;kk;egóisma;ÞFET,ÞGFET,EFET
Elli;354005;kk;Elli;NFET
Elli;354005;kk;Ella;ÞFET,ÞGFET,EFET
Elliði;354006;kk;Elliði;NFET
Elliði;354006;kk;Elliða;ÞFET,ÞGFET,EFET
expressjónismi;464717;kk;expressjónismi;NFET
expressjónismi;464717;kk;expressjónisma;ÞFET,ÞGFET,EFET
Eyfi;489029;kk;Eyfi;NFET
Eyfi;489029;kk;Eyfa;ÞFET,ÞGFET,EFET
fallandi;10121;kk;fallanda;ÞFET,ÞGFET,EFET
fallandi;10121;kk;fallandi;NFET
fasismi;9382;kk;fasisma;ÞFET,ÞGFET,EFET
fasismi;9382;kk;fasismi;NFET
femínismi;9383;kk;femínisma;ÞFET,ÞGFET,EFET
femínismi;9383;kk;femínismi;NFET
fjarski;8911;kk;fjarski;NFET
fjarski;8911;kk;fjarska;ÞFET,ÞGFET,EFET
fjöldi;8649;kk;fjölda;ÞFET,ÞGFET,EFET
fjöldi;8649;kk;fjöldi;NFET
Flóki;354071;kk;Flóka;ÞFET,ÞGFET,EFET
Flóki;354071;kk;Flóki;NFET
Flosi;354070;kk;Flosi;NFET
flosi;8650;kk;flosi;NFET
flosi;8650;kk;flosa;ÞFET,ÞGFET,EFET
Flosi;354070;kk;Flosa;ÞFET,ÞGFET,EFET
frami;8920;kk;frama;ÞFET,ÞGFET,EFET
frami;8920;kk;frami;NFET
Frikki;484858;kk;Frikka;ÞFET,ÞGFET,EFET
Frikki;484858;kk;Frikki;NFET
Fróði;354091;kk;Fróða;ÞFET,ÞGFET,EFET
Fróði;354091;kk;Fróði;NFET
Frosti;354090;kk;Frosta;ÞFET,ÞGFET,EFET
